loss	type	model	filtering	set
0.537746806	test	pred_bal_1_lr1	10	codacore
0.557491289	test	pred_bal_1	10	codacore
0.495934959	test	pred_bal_1	10	codacore
0.555168409	test	pred_bal_1	10	codacore
0.591173055	test	pred_bal_1	10	codacore
0.537746806	test	pred_bal_1	10	codacore
0.550522648	test	pred_bal_1	10	codacore
0.537746806	test	pred_bal_1	10	codacore
0.555168409	test	pred_bal_1	10	codacore
0.537746806	test	pred_bal_1	10	codacore
0.554006969	test	pred_bal_1	10	codacore
0.719346676	training	model_bal_0	50	codacore
0.719346676	training	model_bal_0	50	codacore
0.716126064	training	model_bal_0	50	codacore
0.716049383	training	model_bal_0	50	codacore
0.719346676	training	model_bal_0	50	codacore
0.719346676	training	model_bal_0	50	codacore
0.716049383	training	model_bal_0	50	codacore
0.719346676	training	model_bal_0	50	codacore
0.719346676	training	model_bal_0	50	codacore
0.716126064	training	model_bal_0	50	codacore
0.711831915	training	model_bal_1	50	codacore
0.683843264	training	model_bal_1	50	codacore
0.702170079	training	model_bal_1	50	codacore
0.683843264	training	model_bal_1	50	codacore
0.702170079	training	model_bal_1	50	codacore
0.707614447	training	model_bal_1	50	codacore
0.683843264	training	model_bal_1	50	codacore
0.702170079	training	model_bal_1	50	codacore
0.688520819	training	model_bal_1	50	codacore
0.681389464	training	model_bal_1	50	codacore
0.488966318	test	pred_bal_0_lr1	50	codacore
0.488966318	test	pred_bal_0_lr1	50	codacore
0.509872242	test	pred_bal_0_lr1	50	codacore
0.505226481	test	pred_bal_0_lr1	50	codacore
0.488966318	test	pred_bal_0_lr1	50	codacore
0.488966318	test	pred_bal_0_lr1	50	codacore
0.505226481	test	pred_bal_0_lr1	50	codacore
0.488966318	test	pred_bal_0_lr1	50	codacore
0.488966318	test	pred_bal_0_lr1	50	codacore
0.509872242	test	pred_bal_0_lr1	50	codacore
0.488966318	test	pred_bal_0	50	codacore
0.505226481	test	pred_bal_0	50	codacore
0.505226481	test	pred_bal_0	50	codacore
0.490127758	test	pred_bal_0	50	codacore
0.490127758	test	pred_bal_0	50	codacore
0.493612079	test	pred_bal_0	50	codacore
0.511033682	test	pred_bal_0	50	codacore
0.511033682	test	pred_bal_0	50	codacore
0.488966318	test	pred_bal_0	50	codacore
0.509872242	test	pred_bal_0	50	codacore
0.512195122	test	pred_bal_1_lr1	50	codacore
0.531939605	test	pred_bal_1_lr1	50	codacore
0.541231127	test	pred_bal_1_lr1	50	codacore
0.531939605	test	pred_bal_1_lr1	50	codacore
0.541231127	test	pred_bal_1_lr1	50	codacore
0.524970964	test	pred_bal_1_lr1	50	codacore
0.531939605	test	pred_bal_1_lr1	50	codacore
0.541231127	test	pred_bal_1_lr1	50	codacore
0.552845528	test	pred_bal_1_lr1	50	codacore
0.552845528	test	pred_bal_1_lr1	50	codacore
0.512195122	test	pred_bal_1	50	codacore
0.521486643	test	pred_bal_1	50	codacore
0.541231127	test	pred_bal_1	50	codacore
0.529616725	test	pred_bal_1	50	codacore
0.541231127	test	pred_bal_1	50	codacore
0.524970964	test	pred_bal_1	50	codacore
0.523809524	test	pred_bal_1	50	codacore
0.541231127	test	pred_bal_1	50	codacore
0.558652729	test	pred_bal_1	50	codacore
0.56329849	test	pred_bal_1	50	codacore
0.567582651	training	ALRo	10	glmnet
0.567495613	training	ALRo	10	glmnet
0.572759372	training	ALRo	10	glmnet
0.569282879	training	ALRo	10	glmnet
0.576662071	training	ALRo	10	glmnet
0.567389845	training	ALRo	10	glmnet
0.578457762	training	ALRo	10	glmnet
0.579346173	training	ALRo	10	glmnet
0.563501769	training	ALRo	10	glmnet
0.57745474	training	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.599303136	test	ALRo	10	glmnet
0.540505932	training	CLR	10	glmnet
0.544833654	training	CLR	10	glmnet
0.549389413	training	CLR	10	glmnet
0.544872438	training	CLR	10	glmnet
0.559710478	training	CLR	10	glmnet
0.528760584	training	CLR	10	glmnet
0.542390681	training	CLR	10	glmnet
0.548551067	training	CLR	10	glmnet
0.537223081	training	CLR	10	glmnet
0.553747006	training	CLR	10	glmnet
0.542392567	test	CLR	10	glmnet
0.542392567	test	CLR	10	glmnet
0.519163763	test	CLR	10	glmnet
0.542392567	test	CLR	10	glmnet
0.542392567	test	CLR	10	glmnet
0.542392567	test	CLR	10	glmnet
0.519163763	test	CLR	10	glmnet
0.519163763	test	CLR	10	glmnet
0.542392567	test	CLR	10	glmnet
0.519163763	test	CLR	10	glmnet
0.477947513	training	TSS	10	glmnet
0.480586495	training	TSS	10	glmnet
0.46873113	training	TSS	10	glmnet
0.475816065	training	TSS	10	glmnet
0.487403493	training	TSS	10	glmnet
0.458410275	training	TSS	10	glmnet
0.46522588	training	TSS	10	glmnet
0.477059241	training	TSS	10	glmnet
0.471156487	training	TSS	10	glmnet
0.481256824	training	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.574912892	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.595818815	test	TSS	10	glmnet
0.534038895	training	ALRr	10	glmnet
0.537752897	training	ALRr	10	glmnet
0.542588361	training	ALRr	10	glmnet
0.538848666	training	ALRr	10	glmnet
0.544544201	training	ALRr	10	glmnet
0.534177947	training	ALRr	10	glmnet
0.550603275	training	ALRr	10	glmnet
0.546287879	training	ALRr	10	glmnet
0.516930286	training	ALRr	10	glmnet
0.53900408	training	ALRr	10	glmnet
0.519163763	test	ALRr	10	glmnet
0.519163763	test	ALRr	10	glmnet
0.519163763	test	ALRr	10	glmnet
0.519163763	test	ALRr	10	glmnet
0.519163763	test	ALRr	10	glmnet
0.519163763	test	ALRr	10	glmnet
0.520325203	test	ALRr	10	glmnet
0.519163763	test	ALRr	10	glmnet
0.520325203	test	ALRr	10	glmnet
0.520325203	test	ALRr	10	glmnet
0.494223763	training	ALRw	10	glmnet
0.499118274	training	ALRw	10	glmnet
0.489114583	training	ALRw	10	glmnet
0.492649566	training	ALRw	10	glmnet
0.50891377	training	ALRw	10	glmnet
0.481654203	training	ALRw	10	glmnet
0.483085589	training	ALRw	10	glmnet
0.493109264	training	ALRw	10	glmnet
0.481539244	training	ALRw	10	glmnet
0.501843249	training	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.541231127	test	ALRw	10	glmnet
0.536585366	test	ALRw	10	glmnet
0.522387895	training	ALRw	50	glmnet
0.525106325	training	ALRw	50	glmnet
0.535747688	training	ALRw	50	glmnet
0.523734264	training	ALRw	50	glmnet
0.531939199	training	ALRw	50	glmnet
0.501408269	training	ALRw	50	glmnet
0.518005375	training	ALRw	50	glmnet
0.519256698	training	ALRw	50	glmnet
0.523031765	training	ALRw	50	glmnet
0.527202888	training	ALRw	50	glmnet
0.427409988	test	ALRw	50	glmnet
0.427409988	test	ALRw	50	glmnet
0.429732869	test	ALRw	50	glmnet
0.429732869	test	ALRw	50	glmnet
0.429732869	test	ALRw	50	glmnet
0.430894309	test	ALRw	50	glmnet
0.428571429	test	ALRw	50	glmnet
0.427409988	test	ALRw	50	glmnet
0.427409988	test	ALRw	50	glmnet
0.426248548	test	ALRw	50	glmnet
0.551623148	training	ALRo	50	glmnet
0.564870209	training	ALRo	50	glmnet
0.549813948	training	ALRo	50	glmnet
0.555809868	training	ALRo	50	glmnet
0.566115753	training	ALRo	50	glmnet
0.557091271	training	ALRo	50	glmnet
0.567061121	training	ALRo	50	glmnet
0.556220616	training	ALRo	50	glmnet
0.552806373	training	ALRo	50	glmnet
0.554839433	training	ALRo	50	glmnet
0.463414634	test	ALRo	50	glmnet
0.471544715	test	ALRo	50	glmnet
0.468060395	test	ALRo	50	glmnet
0.465737515	test	ALRo	50	glmnet
0.469221835	test	ALRo	50	glmnet
0.463414634	test	ALRo	50	glmnet
0.468060395	test	ALRo	50	glmnet
0.465737515	test	ALRo	50	glmnet
0.470383275	test	ALRo	50	glmnet
0.471544715	test	ALRo	50	glmnet
0.537178448	training	ALRr	50	glmnet
0.550790302	training	ALRr	50	glmnet
0.537103526	training	ALRr	50	glmnet
0.543509846	training	ALRr	50	glmnet
0.556156069	training	ALRr	50	glmnet
0.542241254	training	ALRr	50	glmnet
0.546912043	training	ALRr	50	glmnet
0.541245822	training	ALRr	50	glmnet
0.54088862	training	ALRr	50	glmnet
0.541979654	training	ALRr	50	glmnet
0.449477352	test	ALRr	50	glmnet
0.447154472	test	ALRr	50	glmnet
0.441347271	test	ALRr	50	glmnet
0.443670151	test	ALRr	50	glmnet
0.442508711	test	ALRr	50	glmnet
0.442508711	test	ALRr	50	glmnet
0.442508711	test	ALRr	50	glmnet
0.444831591	test	ALRr	50	glmnet
0.447154472	test	ALRr	50	glmnet
0.445993031	test	ALRr	50	glmnet
0.544622953	training	CLR	50	glmnet
0.546839976	training	CLR	50	glmnet
0.548542363	training	CLR	50	glmnet
0.545236325	training	CLR	50	glmnet
0.544465032	training	CLR	50	glmnet
0.525282211	training	CLR	50	glmnet
0.54914348	training	CLR	50	glmnet
0.547118218	training	CLR	50	glmnet
0.553575646	training	CLR	50	glmnet
0.555395012	training	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.449477352	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.448315912	test	CLR	50	glmnet
0.50561755	training	TSS	50	glmnet
0.515085506	training	TSS	50	glmnet
0.521161013	training	TSS	50	glmnet
0.506474627	training	TSS	50	glmnet
0.515722761	training	TSS	50	glmnet
0.490070953	training	TSS	50	glmnet
0.503074657	training	TSS	50	glmnet
0.512669898	training	TSS	50	glmnet
0.509933991	training	TSS	50	glmnet
0.504431122	training	TSS	50	glmnet
0.459930314	test	TSS	50	glmnet
0.459930314	test	TSS	50	glmnet
0.459930314	test	TSS	50	glmnet
0.458768873	test	TSS	50	glmnet
0.458768873	test	TSS	50	glmnet
0.459930314	test	TSS	50	glmnet
0.458768873	test	TSS	50	glmnet
0.458768873	test	TSS	50	glmnet
0.458768873	test	TSS	50	glmnet
0.458768873	test	TSS	50	glmnet
